Titulo;Categoria;Precio;Nombre autor;Fecha edicion;Cant Paginas
El misterio del faro;Misterio;15.99;Ana Garcia;2023-08-12;320
La herencia perdida;Aventura;12.50;Juan Martinez;2022-11-05;270
Secretos en Paris;Romance;9.99;Maria Lopez;2024-02-20;400
El ultimo reino;Fantasia;18.75;Carlos Ruiz;2023-06-10;380
Aprendiendo a volar;Autoayuda;14.25;Elena Sanchez;2024-01-15;280
Cocina del mundo;Cocina;20.00;Pedro Gomez;2022-09-30;240
El codigo perdido;Ciencia ficcion;16.50;Sofia Perez;2023-04-18;350
En busca del tesoro;Aventura;11.99;Luisa Fernandez;2024-03-22;300
La casa del lago;Misterio;13.75;Javier Rodriguez;2022-06-08;310
Flores en primavera;Romance;8.50;Ana Martin;2024-05-10;360
